date,price,volume,return_1d,return_3d,return_7d,return_14d,MA7,MA30,MA_diff,vol_7d,vol_MA7,highest_30,lowest_30,pos_channel_30
2025-03-26,81135.60723634843,28137545322.20345,0.3709012791739186,5.295841119684708,7.2307347494468655,6.9590040849238255,78945.32114786732,79641.81756117684,-696.49641330952,2.5009373396438064,20749707039.459553,90504.07964230444,72665.18583424798,0.47482884831541555
2025-03-27,80937.68581120633,23755086490.352287,-0.24393904462383098,2.228725967600842,1.72750586652759,5.024588749527292,79141.67249126543,79427.63835620727,-285.9658649418416,1.7311221197289364,19708754965.145313,90504.07964230444,72665.18583424798,0.46373391007139136
2025-03-28,80762.24789260485,22795651819.113136,-0.21675677633125057,-0.09097255290798634,4.053301860266334,8.088653004836367,79591.10392107791,79307.34176680262,283.7621542752895,1.302484850254977,19336521413.897934,90504.07964230444,72665.18583424798,0.45389933621893347
2025-03-29,77568.36316913941,29124626741.441013,-3.9546753672737855,-4.396644320190535,0.4272470117070881,0.894982020266899,79638.24657886275,79226.92424261136,411.3223362513818,2.154879752786955,21121058094.83808,90504.07964230444,72665.18583424798,0.2748588218332821
2025-03-30,76023.3338049204,15481991871.741638,-1.9918292730375708,-6.071772323400815,-1.338744475120246,-1.6599525637220114,79490.87968686431,79045.0794750018,445.8002118625154,2.2955230058501206,22311885027.335186,90504.07964230444,72665.18583424798,0.1882486664703281
2025-03-31,76084.44855188446,12406278079.740501,0.08038945926902574,-5.792061839265273,-3.901178252742865,0.22895333270132046,79049.63896244895,78869.09462926099,180.5443331879651,1.9210877210449722,22420678887.06114,90504.07964230444,72665.18583424798,0.19167459341521834
2025-04-01,76278.00851198542,28034219731.991753,0.254401475971755,-1.6635063632068015,-5.638316851117664,-0.9363574100009431,78398.52785401276,78649.34942283412,-250.82156882135314,1.5957336881995041,22819342865.226254,90504.07964230444,72665.18583424798,0.2025250397592368
2025-04-02,78934.69418981239,27015709772.198242,3.4828985832915826,3.829561582188279,-2.7126352060504844,4.321956086926737,78084.11170450761,78263.7032410844,-179.5915365767869,2.2714590706148274,22659080643.796936,83930.00317170189,72665.18583424798,0.5565565927748506
2025-04-03,75695.38008538041,42497745724.85922,-4.103790022474119,-0.5113639829284256,-6.476965177944449,-4.861349264838788,77335.21088653247,78048.60470615714,-713.3938196246745,2.669414537092939,25336603391.583645,83930.00317170189,72665.18583424798,0.26899630596383206
2025-04-04,75301.41469668013,33134714078.222084,-0.5204616031465936,-1.280308485180015,-6.761616149152216,-2.9823830020435427,76555.09185854324,77819.77883839796,-1264.6869798547268,2.6585000377276367,26813612285.742065,83930.00317170189,72665.18583424798,0.23402322323213076
2025-04-05,76509.59045578145,32525870151.41095,1.6044529362003956,-3.0722912895555843,-1.3649543062411729,-0.9435390210186689,76403.8386137778,77572.43174786727,-1168.593134089475,2.4376132362453684,27299504201.452053,83424.90851265508,72665.18583424798,0.3572958835870857
2025-04-06,76275.89538369751,13604785766.820145,-0.3054454620548541,0.766909813600658,0.33221586865053165,-1.0109761280567509,76439.9188393174,77334.13131023535,-894.2124709179479,2.3074755649000447,27031331900.748985,81135.60723634843,72665.18583424798,0.4262727175007099
2025-04-07,71140.69619728561,32873070287.675728,-6.732401056165715,-5.525418766903945,-6.497717271654468,-10.145407991270828,75733.66850294614,77035.96112530309,-1302.292622356952,3.454306134329078,29955159359.025448,81135.60723634843,71140.69619728561,0.0
2025-04-08,72531.24053020743,75948479896.525,1.9546397593096287,-5.199805543166902,-4.911989779058357,-10.27335308273819,75198.4159341207,76802.78824464836,-1604.3723105276586,3.6057043008596334,36800053668.244484,81135.60723634843,71140.69619728561,0.13912523358008902
2025-04-09,69491.45411311415,43529670306.07511,-4.191002931801913,-8.894607184163462,-11.963358031121663,-14.351470975394076,73849.38163744952,76640.62150705536,-2791.239869605837,3.2888214484962175,39159190887.36974,81135.60723634843,69491.45411311415,0.0
2025-04-10,75456.1842213969,79827130703.2608,8.583400915130834,6.0661312789850985,-0.3159979693789894,-6.772496068883749,73815.2107997376,76733.65478662701,-2918.4439868894115,4.88708296094381,44491960169.99854,81135.60723634843,69491.45411311415,0.5122510881775485
2025-04-11,70705.92178772751,36610217234.14259,-6.295391799473449,-2.516596612903277,-6.102797573543106,-12.451765976412565,73158.71181274437,76561.96104563828,-3403.2492328939115,5.455074707478172,44988460620.84432,81135.60723634843,69491.45411311415,0.10429849743130414
2025-04-12,73506.17467970919,35073920612.903015,3.9604220144227487,5.777286743863663,-3.9255415669857463,-5.236914024565065,72729.65241616261,76443.31809440689,-3713.6656782442733,5.693379337107043,45352467829.62891,81135.60723634843,69491.45411311415,0.3447842470041236
